ASCL1	6.994061638350001
AHR	5.227293208239941
BAMBI	5.125915365173782
ARNT	4.970300189933725
TCF4	3.7805525860378824
TPK1	3.248665092736627
NPAS3	3.0701296635225397
NRARP	3.0021222953103446
RHOB	2.8799291822506325
C22orf23	2.8051001084534475
ZNF367	2.7964155710914165
SLC20A1	2.7359428924140934
PDCD6IP	2.6421209676527155
NEUROG3	2.6116059648546264
ARRDC3	2.532624456675733
SNX15	2.497190689313408
RTN1	2.377136111960626
EPHB1	2.3745407008913
RCOR2	2.3575668105207184
SHLD1	2.3562945729509597
PQBP1	2.3382985831050673
UMPS	2.300511830296145
MST1R	2.288953512023814
ADAMTSL4	2.2755144482394405
LIN54	2.193366896084025
PRPF40B	2.1847489238517888
CASTOR1	2.1393549768585505
UNC93B1	2.0857515136048743
MRM3	1.7991309238978268
NMRK2	1.7495620939218544
COQ6	1.646010927284136
FAM163B	1.5137196255947019
